epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,9.998457962390008e-05,1.8814362251458048,0.1472867621875861,1.3755985078811646,0.17357197004556657,0.6543790836334229
1,9.993832906395583e-05,1.2647335690610548,0.17401299194878891,1.021118730545044,0.19112159395217895,0.6779838094711303
2,9.986128001799078e-05,1.0266549675404524,0.19302646348706815,0.8376992163658142,0.21946012902259826,0.7356305193901062
3,9.975348529157231e-05,0.9134841623426485,0.20402885163281145,0.7833823399543762,0.229660542011261,0.752500271320343
4,9.961501876182148e-05,0.8523306234544065,0.21265649391072136,0.7183262033462524,0.2421578857898712,0.7593031549453735
5,9.944597532678122e-05,0.8009045260293143,0.2246429713583794,0.710015487909317,0.23985010480880736,0.7599094929695129
6,9.924647084037798e-05,0.7783458674655241,0.23002252593761732,0.6597814607620239,0.2572813811302185,0.7773043122291565
7,9.901664203302126e-05,0.749114389680013,0.2360918368486797,0.6716270565986633,0.24857488882541656,0.7719381022453308
8,9.875664641789545e-05,0.7101785985862508,0.2425775681348408,0.6624148795604706,0.252856845498085,0.7725908260345459
9,9.846666218300807e-05,0.6959812017048106,0.24843263999253762,0.6181165585517884,0.26827490985393526,0.7870420227050782
10,9.814688806906869e-05,0.687144607856494,0.24894957502349085,0.6195324382781983,0.26615488839149476,0.7873166947364807
11,9.779754323328191e-05,0.6694965692628332,0.2543921794711041,0.5932145357131958,0.27382899379730224,0.792807605266571
12,9.741886709914803e-05,0.6622705445069225,0.25519991542110926,0.5815909831523896,0.2752705422639847,0.7967571105957031
13,9.701111919237407e-05,0.6379218311870799,0.26208976624893543,0.5972108142375946,0.2762348610162735,0.793740309715271
14,9.65745789630079e-05,0.6260216527626294,0.2622761360737456,0.593309231519699,0.27167828810214995,0.7946940569877624
15,9.610954559391702e-05,0.6343101494452532,0.2646141212777931,0.559755364894867,0.28114024686813355,0.799638011932373
16,9.561633779574372e-05,0.6122942107064383,0.27001503380406805,0.5470282876491547,0.2882259793281555,0.8083179812431336
17,9.509529358847654e-05,0.6159273131053988,0.2686944903445845,0.5450528879165649,0.28562678802013397,0.8098882780075073
18,9.454677006978843e-05,0.5956627068399382,0.2739578829092138,0.5738489639759063,0.2740200215578079,0.7957486362457276
19,9.397114317029974e-05,0.5843538943459006,0.278391917663462,0.5481245520114899,0.2866301566362381,0.800299656867981
20,9.336880739593413e-05,0.5780166476213632,0.28029872704954706,0.5630807521343231,0.28928622078895566,0.7977750201225281
21,9.274017555754407e-05,0.5826169555427647,0.2807646553806898,0.5416988470554351,0.2899653627872467,0.8117554597854614
22,9.20856784879907e-05,0.5724802405393424,0.2851902447077407,0.5156474635601044,0.2964838643074036,0.8149521903991699
23,9.140576474687262e-05,0.5584763903577789,0.28907358127982674,0.5264733653068543,0.29574028933048246,0.8124049539566041
24,9.070090031310557e-05,0.5645191006299828,0.29013110962735505,0.5175373737812042,0.29649746119976045,0.8175406203269958
25,8.997156826556368e-05,0.5553410685863815,0.29053877930180366,0.5072111825942993,0.3040367988348007,0.8187378921508789
26,8.921826845200139e-05,0.5426050878372513,0.2946543338168569,0.5094869081974029,0.3023633606433868,0.8178277659416199
27,8.844151714648273e-05,0.5407181305544717,0.2971388217030453,0.5324246206283569,0.2984719045162201,0.8097929372787476
28,8.764184669555293e-05,0.5409523548699227,0.2966341437662349,0.5165246872901916,0.30136210870742797,0.8163051881790161
29,8.681980515339462e-05,0.5207240961679891,0.3018597378450282,0.4916316373348236,0.3093369249105454,0.8211740117073059
30,8.597595590621892e-05,0.5376503850231652,0.2970886571943259,0.49384854674339296,0.30681714606285093,0.8218767380714417
31,8.511087728614861e-05,0.5348753718768849,0.3004081790938097,0.49618341398239135,0.3094212998151779,0.8225350089073181
32,8.422516217485826e-05,0.5183074587533454,0.3067141683662639,0.48312663221359253,0.31473309206962585,0.8217615275382996
33,8.331941759724268e-05,0.5123600251534406,0.3069102955715997,0.4836952476501465,0.3156527805328369,0.8228885746002197
34,8.239426430539243e-05,0.512156396603384,0.3070577569118067,0.4749170167446137,0.3234816572666168,0.8302275567054749
35,8.14503363531613e-05,0.508703122795129,0.3089030297113066,0.4809526309967041,0.31023560380935666,0.8249158368110657
36,8.048828066161747e-05,0.5062191704742047,0.3097774970932167,0.4769594938755035,0.31499151182174684,0.8298982915878296
37,7.950875657567623e-05,0.5025600584114299,0.3117287853685748,0.4698342514038086,0.321839696764946,0.8294227347373963
38,7.85124354122177e-05,0.5053970682019947,0.3106681383958384,0.4768087515830994,0.31581218135356903,0.8254790477752686
39,7.75e-05,0.4862224608659744,0.315144609828957,0.4766080982685089,0.3133041580915451,0.8278999581336975
40,7.647214421168239e-05,0.49344274664626403,0.3157173862226871,0.47094052720069884,0.31902938866615294,0.8252697930335998
41,7.54295724882796e-05,0.4869290885805082,0.3148142233115284,0.4619085757732391,0.32335298919677735,0.834775083065033
42,7.437299935637329e-05,0.4807696312916379,0.3185094912262524,0.4613934395313263,0.3242973890304565,0.8331240620613098
43,7.330314893841101e-05,0.47533012077587994,0.3224419727044947,0.4635621230602264,0.32292156338691713,0.829445433139801
44,7.222075445642904e-05,0.47974284281249807,0.3214271362839627,0.45488196873664855,0.32950046586990356,0.8338537783622741
45,7.112655772953852e-05,0.47430483876657087,0.32144840257007534,0.4670692024230957,0.3203724069595337,0.8282816948890686
46,7.00213086655197e-05,0.4698874207604833,0.32444047043804364,0.4621716668605804,0.33126953887939453,0.8339068965911866
47,6.890576474687264e-05,0.47235581834777063,0.3245303523139793,0.4447204387187958,0.3330200774669647,0.8357138247489929
48,6.778069051167654e-05,0.4697769709244496,0.3257434017768427,0.45966723561286926,0.32870902061462404,0.833116265296936
49,6.664685702961345e-05,0.4600107293920357,0.3283375178565498,0.4509748940467834,0.3331369581222534,0.838209354877472
50,6.550504137351577e-05,0.45929780882947585,0.3288505191562556,0.44910488367080686,0.33503725624084474,0.8332370400428772
51,6.435602608679919e-05,0.4527377455424862,0.3313370425661071,0.4483400900363922,0.33320144534111024,0.8380144462585449
